nom_plat,ordre_plat,compatibilitat,temperatura,procedencia_plat,complexitat,preu_venta,formalitat,ingredients,url
Bacalao a la llauna,Principal,vino blanco seco / cava brut,Calent,catalana,,18.0,Familiar,harina de trigo | lomo de bacalao | aceite de oliva virgen e tra | ajo | pimentón dulce | vino blanco | perejil,https://www.bonviveur.es/recetas/bacalao-a-la-llauna
Pollo con ciruelas,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,pollo cortado a octavos | aceite de oliva | cebollas | ajo | rama de canela | tomates | vino blanco o coñac | ciruelas pasas | piñones | caldo de pollo | sal | pimienta negra molida,https://www.bonviveur.es/recetas/pollo-con-ciruelas
Esqueixada de bacalao,Postre,vino blanco seco / cava brut,Fred,catalana,,18.0,Familiar,tomate | pimienta negra molida | aceite de oliva virgen e tra | cebolla blanca | bacalao desalado | aceitunas negras,https://www.bonviveur.es/recetas/esqueixada-bacalao
Coca de Llavaneras,Postre,tinto joven / crianza suave,Calent,catalana,,15.0,Familiar,yemas de huevo | azúcar blanco | harina de maíz | leche entera | láminas de hojaldre de mantequilla | huevo batido | claras de huevo | almendra laminada | piñones,https://www.bonviveur.es/recetas/coca-de-llavaneras
Coca de vidre,Postre,tinto joven / crianza suave,Calent,catalana,,15.0,Familiar,levadura fresca de panadero | agua | harina de trigo panificable | pizca de sal | azúcar para la masa y para las cocas | leche | aceite de oliva y para pintar las cocas | piñones | copita de licor de anís,https://www.bonviveur.es/recetas/coca-de-vidre
Cap i pota,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,ajo | aceite de oliva virgen e tra | cayenas | cebolla | sal | pimienta negra molida | pimentón dulce | tomates frescos | vino rancio | morro de ternera cocida | pata de ternera cocida | caldo de carne,https://www.bonviveur.es/recetas/cap-i-pota
Trinxat de la Cerdanya,Postre,vino blanco seco / cava brut,Fred,catalana,,18.0,Familiar,col | patata | aceite de oliva virgen e tra | panceta de cerdo | sal | pimienta negra molida,https://www.bonviveur.es/recetas/trinxat-de-la-cerdanya
Canelones de San Esteban,Principal,vino blanco seco / cava brut,Calent,española,,20.0,Familiar,cebolla | aceite de oliva virgen e tra | carne picada de ternera | carne picada de cerdo | carne picada de pollo | foie gras | coñac | tomate rallado | sal | pimienta negra molida | mantequilla | harina de trigo | leche | pimienta blanca molida | nuez moscada molida | láminas de pasta para canelones | queso rallado,https://www.bonviveur.es/recetas/canelones-de-san-esteban
Carquiñoles,Postre,tinto joven / crianza suave,Calent,española,,15.0,Familiar,huevos | azúcar blanco | ralladura de medio limón | media de canela | pizca de sal | levadura química | harina de trigo | almendras tostadas | huevo batido,https://www.bonviveur.es/recetas/carquinoles
Bombas de patata con carne picada,Principal,vino tinto crianza,Fred,latinoamericana,,17.0,Familiar,patatas | cebolla | aceite | carne picada de ternera | salsa de tomate | cayena | mantequilla | pizca de sal | huevos | pan rallado | aceite de oliva,https://www.bonviveur.es/recetas/bombas-de-patata-con-carne-picada
Espinacas a la catalana,Principal,vino blanco seco / cava brut,Fred,catalana,,18.0,Tradicional,espinacas frescas | aceite de oliva | piñones | ajo | pasas de corinto | sal | pimienta negra molida,https://www.bonviveur.es/recetas/espinacas-a-la-catalana
Coca de forner o coca de pan dulce,Postre,tinto joven / crianza suave,Calent,catalana,,15.0,Familiar,harina de fuerza | sal | aceite de oliva | agua | levadura fresca de panadero | piñones | azúcar | licor de anís,https://www.bonviveur.es/recetas/coca-de-forner-o-coca-de-pan-dulce
Sopa de galets,Principal,vino blanco seco / cava brut,Calent,catalana,,19.0,Formal,carne de ternera picada | carne de cerdo picada | huevo | rebanadas de pan de molde remojadas en leche | ajo | ramillete de perejil | zumo de limón | sal | pimienta negra molida | galets de tamaño | caldo de escudella catalana,https://www.bonviveur.es/recetas/sopa-de-galets
Coca de llardons o chicharrones,Postre,vino tinto crianza,Calent,catalana,,17.0,Familiar,harina de fuerza para bollería | licor de anís dulce | huevos | azúcar | levadura de panadería liofilizada | aceite de oliva virgen | chicharrones | piñones | azúcar adicional para espolvorear,https://www.bonviveur.es/recetas/coca-de-chicharrones-de-llardons
Empedrat,Postre,vino blanco seco / cava brut,Fred,catalana,,19.0,Familiar,bacalao desmigado | huevos | pimiento verde | pimiento rojo | cebolla morada | aceitunas negras sin hueso | tomates de pera | alubias cocidas | vinagre de vino blanco | aceite de oliva suave | sal,https://www.bonviveur.es/recetas/empedrat
Habas a la catalana,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,habas en su vaina | cebollas tiernas | ajos tiernos | panceta ibérica | butifarra negra | aceite de oliva virgen e tra | moscatel o vino blanco | laurel | unas de menta | caldo de verduras hasta cubrir | sal | pizca de pimienta negra molida,https://www.bonviveur.es/recetas/habas-a-la-catalana
Albóndigas con sepia,Principal,vino blanco seco / cava brut,Fred,catalana,,20.0,Formal,carne de ternera picada | carne de cerdo picada | ajo | rama de perejil | rebanadas de pan remojadas en leche | huevo | sal | pimienta negra molida | harina para rebozar | aceite de oliva virgen e tra | cebolla | guindilla | laurel | tomates de pera | sepia con su melsa | pasta de ñora | vino blanco seco | caldo de pescado casero | guisantes | ramita de perejil o cebollino,https://www.bonviveur.es/recetas/albondigas-con-sepia
Salsa romesco,Postre,vino blanco seco / cava brut,Fred,catalana,,19.0,Formal,tomates maduros | cabeza de ajos | o ñoras | rebanada de pan del día anterior | aceite de oliva para freír el pan | almendras | avellanas | o de aceite de oliva virgen e tra | vinagre de jerez o de vino blanco | pimienta negra molida | sal,https://www.bonviveur.es/recetas/salsa-romesco
Coca de recapte,Principal,vino tinto crianza,Calent,catalana,,17.0,Familiar,agua templada | levadura fresca de panadero o de levadura seca | harina de trigo de fuerza | aceite de oliva virgen e tra | sal | berenjena | pimiento rojo | pimiento verde | cebollas | una pizca de pimienta negra molida | una pizca de sal,https://www.bonviveur.es/recetas/coca-de-recapte
Coca de San Juan,Postre,tinto joven / crianza suave,Calent,española,,15.0,Familiar,leche entera | media vaina de vainilla | yemas de huevo | azúcar blanco | harina de maíz | harina de trigo de fuerza | levadura fresca de panadero | sal | huevos | mantequilla sin sal | piñones,https://www.bonviveur.es/recetas/coca-de-san-juan
Samfaina,Principal,vino blanco seco / cava brut,Fred,catalana,,19.0,Tradicional,cebolla morada | pimiento verde | pimiento rojo | calabacín | berenjena | aceite de oliva virgen | sal | una de tomillo | pimienta molida | ajo | tomates,https://www.bonviveur.es/recetas/samfaina
Salsa Espinaler,Postre,tinto joven / crianza suave,Fred,catalana,,14.0,Familiar,vinagre de vino blanco | pimentón de la vera o pimentón dulce | comino molido | zumo de un limón | tabasco | sal,https://www.bonviveur.es/recetas/salsa-espinaler
Zarzuela de pescado y marisco,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,almejas purgadas | vino blanco seco | mejillones | cola de rape cortada en | sal | pimienta negra molida | harina de trigo | aceite de oliva virgen e tra | gambas | cigalas | cebolla | ajo | ramita de perejil | tomates tipo pera | pasta de pulpa de pimiento choricero o de ñora | azúcar | agua o caldo de pescado | palitos de pan | avellanas | almendras | piñones,https://www.bonviveur.es/recetas/zarzuela-de-pescado-y-marisco
Caracoles a la llauna,Principal,vino blanco seco / cava brut,Calent,catalana,,19.0,Formal,caracoles | sal | pimienta molida | aceite de oliva virgen e tra | coñac | ajo | perejil fresco | alioli,https://www.bonviveur.es/recetas/caracoles-a-la-llauna
Butifarra con alubias (Botifarra amb mongetes),Principal,vino blanco seco / cava brut,Calent,catalana,,19.0,Tradicional,alubias blancas | cebolla | laurel | sal | aceite de oliva virgen e tra | butifarra fresca | ajo | perejil fresco | pimienta negra molida,https://www.bonviveur.es/recetas/butifarra-con-alubias-botifarra-amb-mongetes
Suquet de pescado,Principal,vino blanco seco / cava brut,Calent,mediterránea,,20.0,Formal,colita de rape | pimiento verde | ajos | almejas | gambas rojas | patatas | fumet de pescado | perejil | almendras | ajo | pasta de ñora | coñac,https://www.bonviveur.es/recetas/suquet-de-pescado
Ensalada Xató,Principal,vino blanco seco / cava brut,Fred,catalana,,20.0,Formal,escarola | anchoas | atún en conserva | aceitunas negras | lomos de bacalao desalado | ñoras o de pasta de ñora | ajos | almendras | avellanas | rebanada de pan frito | vinagre | aceite | sal,https://www.bonviveur.es/recetas/ensalada-xato
